  8481880  72714621 426153544 total
     3578     30610    179359 base_dades/etext02/legva12.txt
     3494     29332    178588 base_dades/etext02/hstwl10.txt
     4200     30825    176874 base_dades/etext92/carol13.txt
     6601     29496    175105 base_dades/etext98/2ws2910.txt
     4558     30323    173466 base_dades/etext98/wwrld10.txt
     6606     29520    173217 base_dades/etext98/2ws3210.txt
     3197     27757    171958 base_dades/etext00/8rbaa10.txt
     5566     29555    170900 base_dades/etext98/2ws2110.txt
     6938     28213    170608 base_dades/etext98/2ws3510.txt
     6392     29151    170485 base_dades/etext98/2ws3310.txt
     5363     29320    170309 base_dades/etext98/2ws2310.txt
     3115     27702    168129 base_dades/etext03/ponye10.txt
     4230     28437    166117 base_dades/etext97/bwulf11.txt
     5536     28580    166035 base_dades/etext98/2ws0210.txt
     4513     26779    165106 base_dades/etext99/tmbn210.txt
     4565     25348    165100 base_dades/etext04/spatr10.txt
     4923     27243    164423 base_dades/etext97/jmlta10.txt
     3853     28194    163184 base_dades/etext91/alice30.txt
     5446     27754    162342 base_dades/etext98/2ws0310.txt
     2807     22226    161875 base_dades/etext95/galli10.txt
     5342     27642    161434 base_dades/etext98/2ws4010.txt
     5400     27769    161053 base_dades/etext98/2ws4210.txt
     6464     27481    160938 base_dades/etext98/2ws4310.txt
     4465     26018    160402 base_dades/etext97/tmbn110.txt
     5568     27463    159505 base_dades/etext98/2ws1610.txt
     3747     27044    159430 base_dades/etext03/nnchr10.txt
     3798     26302    158338 base_dades/etext02/lvbma11.txt
     4292     27180    157812 base_dades/etext02/hlnty10.txt
     5145     27276    155753 base_dades/etext98/2ws1910.txt
     4134     26625    155275 base_dades/etext05/8ghst10.txt
     5349     26289    151251 base_dades/etext98/2ws3010.txt
     2528     24793    148791 base_dades/etext00/mohwk10.txt
     4619     25344    147112 base_dades/etext98/2ws1510.txt
     3486     23417    147112 base_dades/etext97/wwasw10.txt
     4939     24698    146946 base_dades/etext98/2ws0110.txt
     2448     24399    146247 base_dades/etext04/judsm10.txt
     5351     24608    146200 base_dades/etext98/2ws1210.txt
     5406     25373    145680 base_dades/etext98/2ws2010.txt
     5259     25217    145386 base_dades/etext99/1ws5110.txt
     2677     24179    144243 base_dades/etext01/8saht10.txt
     3652     24514    143783 base_dades/etext95/sstcq10.txt
     2802     24307    143707 base_dades/etext97/3spne10.txt
     5205     24718    143496 base_dades/etext98/2ws3110.txt
     3467     21900    142668 base_dades/etext04/8read10.txt
     4821     24786    142179 base_dades/etext98/2ws2510.txt
     2149     24683    141533 base_dades/etext93/dcart10.txt
     2565     24532    141528 base_dades/etext99/adrwn10.txt
     4632     23888    141018 base_dades/etext04/canpw10.txt
     2668     23836    140848 base_dades/etext97/4spne10.txt
     5129     24123    140629 base_dades/etext98/2ws1010.txt
     4117     23455    139477 base_dades/etext02/birds10.txt
     4826     24475    139394 base_dades/etext98/2ws2210.txt
     4384     23685    137626 base_dades/etext98/2ws1410.txt
     2393     23400    137327 base_dades/etext94/comsn10.txt
     2674     22947    137279 base_dades/etext00/shkdd10.txt
